Timestamp,What is the most important thing you learned today?,Write down one thing that is confusing and youâ€™d like clarification on.,Is there anything else you'd like to add?
10/17/19 11:44,Interestingly how the folders in a project should look like and the logic behind it.,Nothing,Nothing
10/17/19 11:44,"Layout of RStudio, basic commands, and how to get data into RStudio",Everything made sense!,
10/17/19 11:45,Read only was a good tip,,
10/17/19 11:45,To organize my data in a CSV file,What would happen if my data is on different files (a different file per sample). Should I manually put it together in a single CSV file or is there an easier way to do this. ,This is a good introduction for a beginner. I think it would be useful to use more examples that are directly related to what we do. But probably that is more advanced. I am thinking about a bioconductor style class. Thank you!
10/17/19 11:45,Learning the challenges of dates as a data type.,NA,This was very engaging so far. I look forward to the classes going forward.
10/17/19 11:46,How to import files from excel to R and the importance of the raw data organization ,,
10/17/19 11:47,how to successfully organize data,getting rid of NAs in the dataset,no
10/17/19 11:47,how to rename and import files,Not super clear how to move to different directories in R,
10/17/19 11:48,Proper directory building and data formatting,N/A,The course moved a little quickly on the screen at times and I fell behind the pace.
10/17/19 11:48,Organization of root folder system is key,Importing and saving data sets from the R studio datasets package would be interesting,I can't wait to start plotting some data!
10/17/19 11:51,Proper foundation and organization is key,N/A,"The screen was very difficult to read, even close-up.  The triple-screen (so we can see everyone) seems unnecessary on our end.  Perhaps just show the terminal and increase font size."
10/17/19 12:03,That files are connected to my own directory files,I still cannot read my file,I think we spend too much time on how to modify data in excel. Although it must be taught how to write data and the why and how we should use the columns and rows it is not only important for R but used in other statistical software such as SPSS. So it is very important but a big part of R-training especially. 
10/17/19 12:03,Don't use spaces,Whats the purpose of reading your data in RStudio? ,
10/17/19 12:58,"I have learned how to manage data in tidy way, ",Should we remember all of command key in the program?,-
10/17/19 13:49,How to organize one R project,"Some conflicts would appear when I library the tidyverse, may be good to explain why there are conflicts and whether this matters","nope, it is a good and informative class in general "
10/17/19 14:27,Organization or data,,Pace of the course can be a bit quicker. Instructor seemed to busy with multiple tasks at the same time.
11/25/19 13:35,how to successfully organize data,getting rid of NAs in the dataset,no
4/8/21 11:55,"Mostly, this lesson was a refresher",,
4/8/21 11:56,"R programing, R packages",NA,NA
4/8/21 11:56,new packages and pipe function,questions answered by helpers-thank you!,
4/8/21 11:57,Information regarding samples as random variables and how we can use certain commands in R to navigate statistics of data,,
4/8/21 11:58,Get help when you need it,"the stats make sense and are moving at a good pace, the 'extra library' with R threw me for a loop, but helpers got me back on track. ",you all are awesome!
4/8/21 11:58,useful R tips- shortcuts and how to correct the errors from having conflicting variables from other packages,"lots of screens- Zoom (with chat window), RStudio, the etherpad. I don't really need clarification but it was lot to keep up with",
4/8/21 11:58,"I learned quite a bit about using pipes, which I will apply in my own research. ",Today's lesson was fairly straight forward. I feel confident with most of the concepts and methods. ,"The icebreaker was fun, but I'm not sure how much it added and whether or not it was necessary - 20 minutes of extra work time. "
4/8/21 11:58,"understanding shapes of data distributions(standard deviations), not just the mean.","you went through cumulative distribution a little quickly. I think I got it, but a little review might be nice.","I see there are lots of exercises on the GitHub. It would be nice to give those to us as ""homework"" for next week."
4/8/21 12:03,"mostly I already know, but nice to learn little different ways to do stuff.",Nothing confusing,Great thanks!
4/8/21 12:08,Make sure you load the packages and check that is loaded to avoid errors when you run the scripts.,Assigning variables,Can Dan Kerchner's script be posted on GitHub? Thanks. 
4/8/21 13:26,,,"Great course, I think in the next sessions I will learn more. I did notice that we spent almost an hour installing things in R which everyone should have done in advance. Maybe the beginning could have been sped up, this did distract my focus quite a bit. But I agree, people are at different levels with regards to R skills so a middle ground has to be found.  "
4/8/21 14:17,How to set a Montecarlo simulation in R.,No. ,"I was expecting a bit more of statistics rather than R basics, but I guess this will come in next sessions."
4/15/21 11:52,"That I will mostly be using the T-test in practice, which is easily done on R",,
4/15/21 11:54,A more in-depth understanding of the t-test. ,How to use permutations for small sample sizes. ,
4/15/21 11:54,I appreciated learning about various applications for testing / sample assurance.,P-values (one sided t tests?) in relation to a dose response remains a hazy topic.   ,
4/15/21 11:56,,,Mitch was very enthusiastic and engaging. It would have been easier to keep up if he a) used R studio and b) used the same code (although it was fun to watch him work through the questions and then realize the official document solved them totally differently).
4/15/21 11:57,qq plots,,"More visuals, I understand what pnorm is doing, but showing it on a histogram using abline would be helpful for visual learners like myself."
4/15/21 11:59,Concept of CLTs and t-test,Still need to go back and digest the first part. it was little fast for me.,"I couldnt follow the first part since the screen is switching from R-studio to class page and missing the comand to type in, and missed the next...etc. So I figured out its better to be able to have codes in the lecture page and just copy-paste and listen to the lecture. Maybe its better if the lecturer can focus more on the detail of the codes other than typing in, just showing step by step, which parameters refers which..."
4/22/21 11:54,Confidence interval,Power calculation,
4/22/21 11:57,pnorm and qnorm difference. Power calculations.,NA,"I liked the pace of this session, especially the script was ready to copy and paste and I could pay attention to what was being explained by Annat!"
4/22/21 12:32,This helped me understand sample size assurances a bit better with more details regarding the t.test and power calculations. ,"I found the confusion matrix explanation maybe wasn't the easiest thing to follow in relation to more ""fundamental"" code / math. ",